,about,category,datePublished,description,image,name,provider,url
40,"[{'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/9f417f89-9a37-e0d0-912e-99dccfb8982d', 'name': 'Reuters'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/a3ce825b-444a-d683-cfcf-064bf89290ff', 'name': 'Oil'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/458fb3ec-80f7-2a40-2f5e-ea0bf47fe7f6', 'name': 'Stock'}]",,2019-06-19T19:52:00.0000000Z,"Equities held steady after the U.S. Federal Reserve’s decision to hold interest rates steady, as expected, after concluding a two-day policy meeting on Wednesday. “The crude ... tanker attacks, which boosted oil prices. Fears of a confrontation between ...",,Oil prices little changed despite U.S. crude stock draw,"[{'_type': 'Organization', 'name': 'Reuters'}]",https://uk.reuters.com/article/uk-global-oil/oil-prices-little-changed-despite-u-s-crude-stock-draw-idUKKCN1TK020
41,,,2018-10-10T00:00:00.0000000Z,"Iran, the third-largest producer in the Organization of Petroleum Exporting Countries (OPEC), is finding fewer ... The very large crude carrier Dune, operated by National Iranian Tanker Co, offloaded oil into a bonded storage site at the Xingang section ...",,Iranian tanker discharges oil into storage in China ahead of U.S. Sanctions,"[{'_type': 'Organization', 'name': 'Hellenic Shipping News Worldwide'}]",https://www.hellenicshippingnews.com/iranian-tanker-discharges-oil-into-storage-in-china-ahead-of-u-s-sanctions/
42,"[{'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/341a7de9-c25e-8840-9c08-06ffc211738c', 'name': 'Shale, California'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/70834f76-d913-bf85-87a6-b9386945a646', 'name': 'The Wall Street Journal'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/f63fbb04-7788-3709-3ea9-c5c8920edcf1', 'name': 'Oil'}]",,2019-06-13T20:58:00.0000000Z,“I’m 100% confident there’s going to be production and delivery issues out of the non-Saudi OPEC countries.” A U.S. Energy Information Administration report on Thursday showed that crude ... oil demand. Attacks off the coast of Iran damaged two ...,,"Tanker Attacks Lift Oil Prices, Improve Shale Producers’ Outlook","[{'_type': 'Organization', 'name': 'Wall Street Journal', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_fb65cf047b726a4d148957726730accd&pid=news'}}}]",https://www.wsj.com/articles/oil-prices-jump-after-suspected-tanker-attack-11560418265
43,,,2018-11-30T06:40:00.0000000Z,"Three countries currently account for close to 40 percent of global crude oil production ... experiencing now. Iran has already demonstrated it could ramp up pretty quickly if given the chance. In other words, OPEC’s clout on oil markets may be ...",,The Oil Powerhouses Replacing OPEC,"[{'_type': 'Organization', 'name': 'Iranian.com', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_c7e92d2550fd9f04a3e99c945ce58f56&pid=news'}}}]",https://iranian.com/2018/11/30/oil-powerhouses-replacing-opec/
44,,,2019-07-01T10:09:00.0000000Z,Mission accomplished: Oil companies are producing record amounts of crude oil and ... impose sanctions on Iran and Venezuela without risking higher gasoline prices or shortages. Rising tensions with Iran after attacks on two oil tankers and a United ...,,U.S. Oil Companies Find Energy Independence Isn’t So Profitable,"[{'_type': 'Organization', 'name': 'New York Times', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_cc657c1af702fae867766bbf2aa25756&pid=news'}}}]",https://www.nytimes.com/2019/06/30/business/energy-environment/oil-companies-profit.html
45,,,2019-07-16T22:00:00.0000000Z,"American crude is grabbing a bigger slice of Asia as U.S. sanctions crimp supply from Venezuela and Iran ... Buyers A spate of tanker attacks in the Gulf of Oman ratcheted up risks of importing oil from the Middle East, home to OPEC’s top five drillers ...","{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.1315AFAFCCC5A245167A40DB4EEBE13A&pid=News', 'width': 700, 'height': 466}}",U.S. Oil Lets Top Korean Refiner Pivot Away From Middle East,"[{'_type': 'Organization', 'name': 'Bloomberg', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_547fa6d5f7b56fc1176cbdaadbcad3bc&pid=news'}}}]",https://www.bloomberg.com/news/articles/2019-07-16/u-s-oil-gives-korea-top-buyer-a-pivot-as-middle-east-risk-soars
46,"[{'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/502b5268-992d-26c9-a0d8-6f206338406e', 'name': 'Iran'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/a3ce825b-444a-d683-cfcf-064bf89290ff', 'name': 'Oil'}]",,2019-06-24T20:02:00.0000000Z,"U.S. crude futures settled at $57.90 a barrel, rising 47 cents, or 0.8 per cent. Last week, Brent climbed 5% and U.S. crude surged 10% after Iran shot down a U.S. drone on Thursday in the Gulf, adding to tensions stoked by attacks on oil tankers in the ...",,Oil mixed on crude demand fears and U.S.-Iran tensions,"[{'_type': 'Organization', 'name': 'The Globe and Mail', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_1f750f81af6f6845a017392dae8ac4d5&pid=news'}}}]",https://www.theglobeandmail.com/business/industry-news/energy-and-resources/article-oil-prices-rise-on-us-iran-tensions/
47,"[{'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/0581f529-a659-ac53-5b4d-b31af2c97854', 'name': 'Oil tanker'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/28ecad29-90e7-f5fa-3f91-1a0842a9d578', 'name': 'Fan-In'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/4a07c322-30f5-82ab-3b0f-d0cf0d56789a', 'name': 'Shipping'}]",,2017-02-01T00:00:00.0000000Z,"In January, the international sanctions on Iran were lifted, resulting in a very swift increase of their oil production capacities and subsequent re-entry into the global oil export market. Seasonality has certainly been a friend of crude oil tanker owners ...",,Tanker shipping: A strong season lifts crude oil tankers before it is expected to hit the fan in 2017,"[{'_type': 'Organization', 'name': 'Hellenic Shipping News Worldwide'}]",https://www.hellenicshippingnews.com/tanker-shipping-a-strong-season-lifts-crude-oil-tankers-before-it-is-expected-to-hit-the-fan-in-2017/
48,"[{'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/1a466af2-ed23-25bd-794d-1ca925e4681b', 'name': 'Donald Trump'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/d0270677-9e09-fed6-0693-0ca81df65388', 'name': 'OPEC'}]",,2018-09-20T13:52:00.0000000Z,"The president has tweeted several times that he wants lower oil prices, prodding OPEC to simply open its spigots. At the same time, Trump will reimpose sanctions on Iran later this year ... trains and giant crude tankers. Any disruption, no matter how ...",,Trump urges OPEC to drive down oil prices,"[{'_type': 'Organization', 'name': 'Washington Post', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_04bc0c1c424cf64dec14a2982f0360ef&pid=news'}}}]",https://www.washingtonpost.com/business/2018/09/20/trump-urges-opec-drive-down-oil-prices/
49,"[{'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/a3ce825b-444a-d683-cfcf-064bf89290ff', 'name': 'Oil'}, {'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/8b66bc9b-0323-f7ad-c81f-34c7a0b848a0', 'name': 'News'}]",,2019-06-20T22:53:00.0000000Z,"Also supporting oil prices were a drop in US crude inventories and expectations that the US Federal Reserve ... tankers near the Strait of Hormuz, a crucial passageway for oil supplies in the Gulf. While Washington blamed Tehran for the tanker attacks ...",,"Oil prices are up, and could go even higher","[{'_type': 'Organization', 'name': 'Al Jazeera English', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_29ad67539580a95cda82bfc29bc3dba7&pid=news'}}}]",https://www.aljazeera.com/ajimpact/oil-prices-higher-190620201754321.html
